count,license
2,"WTFPL"
3,"Ruby"
2,"RUBY"
2,"Public Domain"
1,"Public Domain (CC0)"
1,"Perl Artistic v2"
297,"MIT"
1,"MIT License"
1,"LPGL-3"
2,"LGPL-3"
2,"LGPL"
1,"ISC"
3,"GPLv3"
1,"GPL3"
1,"GPL-3.0+"
1,"GPL-3.0"
3,"GPL-3"
1,"GPL-2.0"
5,"GPL-2"
1,"GPL"
3,"GPL 2"
1,"GNU"
1,"GNU GPL v2"
1,"EPL-1.0"
1,"BSD-3"
5,"BSD-2-Clause"
1,"BSD-2"
2,"BSD"
1,"BSD 3-Clause"
1,"BSD 2-Clause"
1,"Beerware"
1,"Artistic 2.0"
1,"apachev2"
3,"Apache-2.0"
4,"Apache"
1,"Apache v2.0"
1,"Apache v2"
3,"Apache License, Version 2.0"
2,"Apache License 2.0"
2,"Apache License (2.0)"
1,"Apache Licence v2"
6,"Apache 2.0"
1,"AGPL3"
